Samples,Quality,MAE
50,1.0,0.49857640266418457
100,1.0,0.5331146717071533
200,1.0,0.4207753539085388
400,1.0,0.19401757419109344
800,1.0,0.13010656833648682
1600,1.0,0.11255904287099838
3200,1.0,0.0902947410941124
6400,1.0,0.08566826581954956
12800,1.0,0.09857378154993057
25600,1.0,0.08361969143152237
51200,1.0,0.08579901605844498
102400,1.0,0.07589741796255112
204800,1.0,0.08143103122711182
50,1.5,0.5751498341560364
100,1.5,0.5260962247848511
200,1.5,0.37109190225601196
400,1.5,0.21561971306800842
800,1.5,0.11078618466854095
1600,1.5,0.0981256440281868
3200,1.5,0.06507231295108795
6400,1.5,0.12205429375171661
12800,1.5,0.05916929990053177
25600,1.5,0.06533496081829071
51200,1.5,0.06081138923764229
102400,1.5,0.05510865896940231
204800,1.5,0.05579342320561409
50,2.0,0.556749165058136
100,2.0,0.5562930107116699
200,2.0,0.3280150890350342
400,2.0,0.11357627063989639
800,2.0,0.106170654296875
1600,2.0,0.07954517006874084
3200,2.0,0.058256298303604126
6400,2.0,0.0472690686583519
12800,2.0,0.04885087162256241
25600,2.0,0.046736858785152435
51200,2.0,0.04462255910038948
102400,2.0,0.04368903115391731
204800,2.0,0.04291829466819763
